Genus,Species,LOA (mm),MSR,C,Ven,CS,SC,ST,RTL (%),Elev. (m),RM,OS
Dendroaspis,viridis,400–2700,13,S,211–255,D,111–125,2,25.4–26.0,0–500,0,7–16
Dendrolycus,elapoides,250–700,17,S,225–260,E,66–83,2,18.1–22.0,620–1400,0,–
Dendrophidion,apharocybe,300–1045,17,k,149–168,D,111–129,2,30.0–38.0,40–1530,0,5–6
Dendrophidion,atlantica,530–1162,17,k,154–163,D,140–160,2,42.8–43.5,15–525,0,3
Dendrophidion,bivittatus,328–810,17,k,142–157,D,109–128,2,32.6–35.9,0–2630,0,–
Dendrophidion,boshelli,354–900,15,k,142,D,–,2,41.0–41.5,250–650,0,–
Dendrophidion,brunneum,501–1369,17,k,145–170,D,135–158,2,38.0–44.0,15–2650,0,4–7
Dendrophidion,clarkii,392–1550,17,k,158–175,D,139–161,2,34.0–40.0,30–1800,0,4–7
Dendrophidion,crybelum,625–925,17,k,150–162,D,112–119,2,31.0–36.0,1000–1330,0,4
Dendrophidion,dendrophis,395–1183,15,k,143–175,D/E,143–195,2,27.4–53.8,50–1000,0,1–6
Dendrophidion,graciliverpa,605–1054,17–19,k,152–166,D,120–153,2,36.0–42.0,15–1750,0,–
Dendrophidion,nuchale,252–1530,17,k,149–175,D,132–163,2,35.6–40.0,20–1470,0,6
Dendrophidion,paucicarinatum,1087–1400,17,k,179–195,D,119–139,2,32.6–35.0,40–2360,0,3–12
Dendrophidion,percarinatum,410–1175,17,k,147–170,D,133–165,2,35.7–44.9,5–2400,0,4–6
Dendrophidion,prolixum,300–1140,17,k,150–164,D,133–150,2,35.0–41.0,20–1190,0,–
Dendrophidion,rufiterminorum,1423+–1561,17,k,153–175,D,132–163,2,35.0–38.0,30–970,0,5–5
Dendrophidion,vinitor,230–1200,17,k,147–168,D,109–128,2,29.0–40.0,15–1360,0,4–6
Denisonia,devisi,120–700,17,S,118–150,E,23–38,1,12.7–15.3,15–995,1,3–12
Denisonia,maculata,160–500,17,S,120–150,E,20–40,1,10.9–14.7,20–260,1,3–11
Diadophis,punctatus,70–940,13–19,S,122–244,D,30–79,2,10.7–29.1,50–2720,0-1,1–18
Diaphorolepis,laevis,490–495,19,B,157,E,84,2,29.3–30.8,1310–2600,0,–
Diaphorolepis,wagneri,405–884,19,B,181–197,E,98–141,2,22.0–36.5,100–2100,0,3
Dibernardia,affinis,166–758,17,S,144–186,D,52–82,2,17.8–30.9,60–1600,0,–
Dibernardia,bilineata,127–612,17,S,138–157,D,61–94,2,25.3–35.7,10–905,0,–
Dibernardia,persimilis,191–502,17,S,123–137,D,51–70,2,21.9–31.6,0–910,0,–
Dibernardia,poecilopogon,160–443,17,S,128–163,D,61–91,2,21.8–31.0,10–170,0,–
Dieurostus,dussumieri,570–920,25–31,S,142–151,D,27–40,2,8.8–13.7,5–740,1,25–32
Dipsadoboa,aulica,180–720,17,S,167–190,E,74–97,2,21.6–26.3,0–650,0,3–12
Dipsadoboa,brevirostris,580–1070,17,S,217–229,E,91–111,2,22.2–24.4,10–610,0,–
Dipsadoboa,broadleyi,200–630,17,S,170–197,E,79–100,2,20.5–24.9,20–1115,0,–
Dipsadoboa,duchesnii,280–1310,17,S,185–225,E,92–122,2,13.4–26.8,0–1200,0,2–4
Dipsadoboa,flavida,200–630,17,S,188–206,E,93–106,2,24.4–26.0,0–1200,0,7–9
Dipsadoboa,guineensis,500–800,17,S,217–229,E,91–111,2,23.5–25.4,15–515,0,4
Dipsadoboa,kageleri,270–677,17,S,187–195,E,68–76,2,16.1–27.7,1350,0,–
Dipsadoboa,montisilva,348–1084,19,S,194–210,E,89–100,2,22.4–25.5,920–1645,0,–
Dipsadoboa,riparia,331–862,17,S,192–206,E,61–72,2,16.5–17.7,85–725,0,–
Dipsadoboa,shrevei,276–1241,19,S,191–221,E/D,71–96,2,17.4–28.6,590–2185,0,–
Dipsadoboa,underwoodi,210–610,17,S,177–202,E,71–87,2,17.8–23.9,10–1650,0,–
Dipsadoboa,unicolor,170–1280,17,S,181–220,E,52–78,2,15.1–24.0,80–3000,0,14–14
Dipsadoboa,viridis,200–1240,17,S,190–238,E,71–112,2,20.5–25.8,10–2135,0,3–4
Dipsadoboa,weileri,210–960,17–19,S,181–206,E,56–73,2,16.1–19.7,10–2045,0,4–8
Dipsadoboa,werneri,370–1180,19,S,212–229,E,98–111,2,22.1–23.0,880–1555,0,–
Dipsas,albifrons,153–870,15,S,154–191,E,68–97,2,21.7–30.8,10–800,0,3–4
Dipsas,alternans,217–851,15,S,174–201,E,78–118,2,27.6–31.6,0–725,0,–
Dipsas,andiana,260–843,15,S,185–196,E,82–106,2,23.0–26.0,5–1750,0,3–5
Dipsas,aparatiritos,234–725,15,S,177–196,E,111–136,2,27.8–36.8,590–1010,0,1–2
Dipsas,articulata,664–712,15,S,188–214,E,106–135,2,30.8–32.2,10–1100,0,1–3
Dipsas,baliomelas,393,15,S,188,E,85,2,23.9,1130–1150,0,–
Dipsas,bicolor,210–712+,15,S,186–199,E,111–129,2,31.4–34.9,5–1100,0,3
Dipsas,bobridgelyi,403–673,15,S,178–201,E,95–117,2,26.2–30.7,40–570,0,–
Dipsas,bothropoides,488–580,15,S,179–183,E,100–110,2,27.6–30.5,55–800,0,–
Dipsas,brevifacies,127–596,15,S,150–181,E,69–101,2,17.3–36.0,10–350,0,2–8
Dipsas,bucephala,222–916,13,S,169–194,E,69–109,2,23.9–25.0,150–2000,0,–
Dipsas,catesbyi,170–1000,13,S,160–220,E,60–120,2,20.6–31.1,50–2770,0,1–6
Dipsas,chaparensis,426–1070,13–17,S,182–201,E,79–98,2,22.8–29.0,800–2300,0,–
Dipsas,cisticeps,588–833,13,S,169–194,E,76–107,2,22.8–26.9,300–2555,0,–
Dipsas,copei,456–1000,15,S,211–219,E,117–142,2,26.5–3.1,0–1180,0,2–6
Dipsas,elegans,216–933,15–17,S,166–189,E,68–107,2,22.0–30.6,500–2910,0,2–7
Dipsas,ellipsifera,216–810,15,S,153–164,E,58–79,2,19.4–27.0,570–2600,0,–
Dipsas,gaigeae,160–592,13,S,155–169,E,53–72,2,18.4–28.0,45–800,0,2–5
Dipsas,georgejetti,357–856,15,S,172–180,E,58–86,2,14.9–24.4,5–315,0,6
Dipsas,gracilis,234–819,15,S,185–210,E,99–129,2,26.9–33.2,15–1640,0,–
Dipsas,incerta,236–839,15,S,211–232,E,134–137,2,27.9–32.2,525–1020,0,–
Dipsas,indica,223–1150,11–17,S,170–210,E,76–126,2,21.4–30.9,5–1000,0,2–6
Dipsas,jamespetersi,763–771,15,S,164–188,E,65–87,2,20.0–28.0,85–3150,0,5
Dipsas,klebbai,570–1079,15,S,181–201,E,98–123,2,28.5–35.8,50–2120,0,5–9
Dipsas,latifrontalis,260–1016,15,S,192–194,E,109,2,27.5–29.3,250–1800,0,–
Dipsas,lavillai,177–584,15,S,160–172,E,47–61,2,18.8–24.2,100–4100,0,–
Dipsas,maxillaris,405,15,S,180,E,84,2,17.3,–,0,–
Dipsas,mikanii,115–649,15,S,153–181,E,37–62,2,14.3–21.6,35–1350,0,3–15
Dipsas,neivai,464–980,15,S,188–189,E,78–86,2,16.7–25.4,145–835,0,–
Dipsas,neuwiedi,224–951,15,S,159–190,E,56–87,2,20.7–24.9,5–640,0,4–12
Dipsas,nicholsi,342–861,15,S,186–208,E,84–110,2,22.2–27.2,30–855,0,3
Dipsas,oligozonata,351–772,15,S,145–177,E,66–68,2,21.8–26.0,1440–2890,0,4
Dipsas,oneilli,203–790,15,S,152–173,E,57–77,2,20.0–26.0,900–3500,0,–
Dipsas,oreas,201–827,15–17,S,167–184,E,70–91,2,21.0–28.0,525–2900,0,3–8
Dipsas,oswaldobaezi,362–550,15,S,163–179,E,65–70,2,21.3–24.7,40–1290,0,–
Dipsas,pakaraima,257–794,15,S,175–193,E,98–117,2,29.3–32.0,1490,0,–
Dipsas,palmeri,293–1297,15,S,172–202,E,86–118,2,20.1–30.1,1210–2280,0,–
Dipsas,pavonina,230–815,13,S,180–230,E,80–131,2,23.0–34.2,30–1435,0,1–6
Dipsas,perijanensis,811–842,15–19,S,186–195,E,78–92,2,21.2–27.0,1350–2345,0,–
Dipsas,peruana,260–1020,15,S,174–202,E,75–127,2,20.3–29.6,500–3515,0,–
Dipsas,petersi,236–811,15,S,164–188,E,65–87,2,20.0–28.0,1250–3120,0,5
Dipsas,praeornata,231–733,15,S,185,E,98,2,16.4–26.3,0–1170,0,–
Dipsas,pratti,227–925,15,S,167–181,E,62–81,2,19.5–24.9,85–2400,0,8
Dipsas,sanctijoannis,240–931,15,S,171–187,E,70–97,2,22.7–27.0,0–2300,0,–
Dipsas,sazimai,477–738,15,S,187–209,E,107–129,2,30.2–32.7,40–800,0,–
Dipsas,schunkii,313–944,15,S,177–188,E,87–102,2,24.9–26.5,1000–1600,0,–
Dipsas,temporalis,256–697,15,S,183–210,E,110–134,2,30.4–38.0,55–1250,0,3
Dipsas,tenuissima,446–633,15,S,218–229,E,118–132,2,29.0–30.0,50–1525,0,3–4
Dipsas,trinitatis,311–750,15,S,168–189,E,81–95,2,20.5–29.9,5–500,0,–
Dipsas,turgida,135–615,15,S,149–168,E,37–56,2,15.3–24.7,50–1345,0,7
Dipsas,vagrans,195–483,15,S,149–168,E,72–89,2,23.0–29.1,315–1325,0,–
Dipsas,vagus,174–643,15,S,144–160,E,56–66,2,20.0–23.8,1810–3270,0,–
Dipsas,variegata,240–912,15,S,169–200,E,66–102,2,19.7–27.9,5–2154,0,2–5
Dipsas,ventrimaculata,184–735,15,S,150–174,E,38–58,2,15.3–30.6,20–630,0,3–7
Dipsas,vermiculata,219–735,13,S,173–192,E,99–117,2,30.0–30.9,60–1680,0,–
Dipsas,viguieri,223–719,15,S,190–203,E,102–127,2,30.4–33.2,60–750,0,2–3
Dipsas,welborni,453–876,13,S,177–193,E,105–116,2,27.9–34.0,245–1845,0,–
Dipsas,williamsi,232–718,15,S,173–188,E,56–73,2,19.0–23.7,10–2990,0,–
Dipsina,multimaculata,110–500,17,S,144–179,D,28–45,3,10.2–15.8,80–1665,0-1,2–4
Dispholidus,kivuensis,282–1670,17–21,K,158–202,D,91–142,2,22.8–28.0,780–2400,0,8–25
Dispholidus,occidentalis,328–1820,17–21,K,171–198,D,102–125,2,23.3–29.4,360–2400,0,–
Dispholidus,pembae,315–1173,17–21,K,197–202,D,147–177,2,31.9–36.5,25–60,0,6
Dispholidus,punctatus,290–1440,17–21,K,170–198,D,90–125,2,22.0–39.5,280–1700,0,10–18
Dispholidus,typus,290–2134,17–21,K,158–201,D,95–130,2,21.3–30.3,0–2400,0,5–27
Dispholidus,viridis,290–1450,17–21,K,174–187,D,101–130,2,22.1–27.9,10–1510,0,8–27
Ditaxodon,taeniatus,543–894,17,S,165–199,D,59–80,2,17.5–24.4,485–1800,0,10
Ditypophis,vivax,307–636,21–23,S,142–154,E,33–47,1,9.0–16.3,10–870,0 ?,–
Djokoiskandarus,annulata,261–648,19–23,S,167–184,D,40–54,2,14.1–18.7,0–20,1,5
Dolichophis,andreanus,490–1000,17,S,217–267,D,85–97,2,21.0–25.8,–40 to 2100,0,–
Dolichophis,caspius,225–2000,17–21,S,160–231,D,80–131,2,23.1–33.6,0–1900,0,5–20
Dolichophis,jugularis,200–3000,17–19,S,189–221,D,87–131,2,24.7–38.5,–360 to 2160,0,5–16
Dolichophis,mesopotamicus,700–1660,18–20,S,200–207,D,102–148,2,27.0–29.1,35–1010,0,–
Dolichophis,schmidti,250–2030,19,S,185–207,D,80–107,2,21.1–29.9,–20 to 2000,0,5–12
Drepanoides,anomalus,350–837,13–15,S,150–189,E,62–86,2,22.5–26.5,50–500,0,2–4
Dromicodryas,bernieri,792–1110,19,S,195–219,D,96–130,2,24.0–29.5,5–1590,0,3–7
Dromicodryas,quadrilineatus,720–1200,19,S,202–214,D,108–121,2,27.4–28.8,0–1155,0,–
Dromophis,lineatus,135–1210,17,S,138–167,D,73–107,2,27.3–34.3,110–1800,0,6–9
Dromophis,praeornatus,400–790,15,S,161–191,D,107–133,2,31.8–33.6,145–1555,0,–
Drymarchon,caudomaculatus,1562–1732,17,S,195–200,E,61–65,2,16.2–16.6,15–680,0,–
Drymarchon,corais,364–2870,17,S,182–217,E,53–88,2,12.6–19.3,5–2750,0,3–28
Drymarchon,couperi,340–2629,17–19,S,182–196,E,55–70,2,16.7–18.4,0–150,0,3–17
Drymarchon,kolpobasileus,450–2694,17,S,181–194,E,60–71,2,13.8–16.1,0–35,0,4–14
Drymarchon,margaritae,1300,17,S,196,E,76,2,18.8,0–800,0,–
Drymarchon,melanurus,256–2950,17,S,182–222,E,55–93,2,14.6–26.1,20–2200,0,4–25
Drymobius,chloroticus,340–1305,15–17,k,151–171,D,105–125,2,29.5–35.3,500–2500,0,–
Drymobius,margaritiferus,123–1339,17,k,137–168,D,98–138,2,25.0–38.0,5–1830,0,1–8
Drymobius,melanotropis,327–1300,17,k,150–163,D,90–96,2,26.3–31.7,50–1700,0,2–3
Drymobius,rhombifer,375–1260,17,k,145–163,D,80–108,2,21.0–40.0,10–1400,0,8
Drymoluber,apurimacensis,279–944,13,S,158–182,D,84–93,2,26.0–30.0,1925–3300,0,–
Drymoluber,brazili,469–1178,17,S,182–202,D,109–134,2,29.2–30.9,75–1100,0,–
Drymoluber,dichrous,325–1390,15,S,157–180,D,86–110,2,24.9–30.9,50–3500,0,1–15
Dryophiops,philippina,210–806,15,S,177–188,D,111–135,2,30.5–33.5,20–940,0,33
Dryophiops,rubescens,726–1200,15,S,186–240,D,99–149,2,21.0–31.8,0–500,0,2–3
Dryophylax,almae,213–846,19,k,144–159,D,55–75,2,19.5–22.9,135–300,1,10
Dryophylax,ceibae,583,19,k,150,D,67,2,23.2,0–250,1,–
Dryophylax,chaquensis,404–810,19,k,135–156,D/E,48–74,2,19.0–28.8,50–2145,1,2–18
Dryophylax,chimanta,191–434,17,S,125–135,D,48–61,2,18.5–25.0,1750–2750,1,1–2
Dryophylax,corocoroensis,258,19,S,132–135,D,54–56,2,28.7,2150–2500,1,–
Dryophylax,dixoni,388–518,19,k,141–163,D,53–75,2,20.2–24.0,50–500,1,–
Dryophylax,duida,455,17,S,130,D,56,2,22.1,2015–2250,1,–
Dryophylax,gambotensis,404–687,19,k,136–160,D,54–75,2,18.1–23.8,5–200,1,–
Dryophylax,hypoconia,165–650,19,k,134–165,D,60–87,2,19.5–29.0,145–820,1,3–16
Dryophylax,marahuaquensis,396,19,S,137,D,61,2,23.0,2000–2500,1,–
Dryophylax,nattereri,568–830,19,k,142–167,D,60–86,2,19.3–26.5,90–1400,1,4–13
Dryophylax,paraguanae,477–605,19,k,132–157,D,53–72,2,20.3–24.0,0–50,1,–
Dryophylax,phoenix,442–631,17–19,S,133–159,D,35–66,2,14.9–21.6,185–755,1,–
Dryophylax,ramonriveroi,345–600,19,S,137–155,D,52–79,2,20.1–25.8,0–2130,1,2–5
Dryophylax,yavi,296–390,19,S,130–135,D,57–66,2,22.9–24.1,2150–2250,1,–
Drysdalia,coronoides,98–450,15–17,S,120–160,E,35–70,1,16.8–24.4,20–2125,1,2–10
Drysdalia,mastersii,90–412,15–17,S,140–160,E,40–55,1,17.7–27.7,5–315,1,2–4
Drysdalia,rhodogaster,110–500,15,S,141–160,E,41–54,1,20.3–23.2,15–2000,1,2–6
Duberria,atriventris,100–450,15,S,118–151,E,17–46,2,11.6–22.0,915–3050,1,6–12
Duberria,lutrix,80–452,15,S,107–144,E,20–51,2,10.0–23.3,25–3250,1,3–22
Duberria,rhodesiana,95–389,15,S,117–141,E,20–39,2,10.4–18.9,1100–1550,1,4–16
Duberria,shirana,100–460,15,S,122–151,E,24–47,2,10.4–23.8,1800–2200,1,4–17
Duberria,variegata,90–400,15,S,91–110,E,20–40,2,13.2–22.2,10–50,1,7–20
Echinanthera,cephalomaculata,413–561,17,S,148–151,D,101,2,35.5–43.6,380–1200,0,–
Echinanthera,cephalostriata,214–758,17,S,142–160,D,82–110,2,30.3–41.4,35–900,0,–
Echinanthera,cyanopleura,205–837,17,S,145–150,D,81–88,2,28.3–37.1,10–1025,0,6
Echinanthera,melanostigma,645–770,17,S,150–160,D,90–107,2,31.3–34.5,60–1170,0,–
Echinanthera,undulata,360–532+,17,S,> 130,D,< 100,2,30.5–32.9,0–1170,0,5–6
Echiopsis,curta,80–750,17–21,S,121–155,E,25–43,1,14.0–14.1,10–640,1,3–14
Echis,borkini,165–650,27–31,K,155–181,E,31–44,1,9.0–10.0,140–200,0,–
Echis,carinatus,80–980,25–39,K,132–195,E,21–48,1,7.3–13.0,–30 to 2000,1,2–28
Echis,coloratus,150–905,31–37,K,174–214,E,29–57,1,8.0–12.7,–360 to 2600,0,4–20
Echis,hughesi,210–850,23–25,K,135–149,E,28–32,1,11.0–11.9,300–865,0,–
Echis,jogeri,100–500,25–29,K,121–143,E,12–30,1,7.9–17.6,60–1330,0,–
Echis,khosatzkii,350–800,25–31,K,165–189,E,36–47,1,9.0–13.0,25–1570,0,10
Echis,leucogaster,200–870,25–33,K,158–189,E,23–40,1,8.3–13.0,10–1655,0,–
Echis,megalocephalus,196–626,31,K,186–202,E,33–37,1,10.2–10.7,0–10,0,–
Echis,ocellatus,200–715,25–33,K,133–157,E,17–30,1,6.7–14.5,65–1330,0,6–20
Echis,omanensis,150–800,31–37,K,184–194,E,49–58,1,9.0–16.0,0–2100,0,6–20
Echis,pyramidum,100–850,25–33,K,155–189,E,21–48,1,8.5–11.7,200–1700,0,4–25
Echis,romani,250–640,29–33,K,146–168,E,18–29,1,6.3–11.0,200–1200,0,10–22
Echis,varius,402–727,25–32,K,155–190,E,27–46,1,10.9–14.2,300,0,–
Eirenis,africanus,320–450,15,S,146–162,D,69–78,2,25.0–29.7,1000–2300,0,–
Eirenis,angusticeps,297–340,15,S,184–209,D,77–85,2,19.7–25.9,780,0,–
Eirenis,aurolineatus,244–480,17,S,149–175,D,60–84,2,21.7–27.2,130–1970,0,–
Eirenis,barani,231–492,17,S,138–172,D,54–69,2,20.1–25.1,100–1980,0,3–4
Eirenis,collaris,97–403,15–17,S,141–184,D,41–76,2,18.2–31.3,310–2500,0,4–8
Eirenis,coronella,126–336,15,S,123–174,D,32–67,2,12.0–25.3,–370 to 2300,0,2–8
Eirenis,coronelloides,150–334,15,S,123–155,D,30–48,2,12.9–24.5,320–1970,0,–
Eirenis,decemlineatus,186–807,17,S,156–183,D,42–86,2,22.3–29.1,–235 to 2000,0,3–8
Eirenis,eiselti,260–400,15,S,152–186,D,51–71,2,19.0–24.2,310–1975,0,–
Eirenis,hakkariensis,350–560,17,S,168–186,D,52–68,2,17.0–19.0,445–1975,0,–
Eirenis,kermanensis,300–410,15,S,154–156,D,56–63,2,21.2–25.0,2600–2800,0,–
Eirenis,levantinus,120–521,17,S,139–190,D,54–76,2,21.0–27.1,50–1975,0,3–5
Eirenis,lineomaculatus,95–316,17,S,101–145,D,21–47,2,13.7–19.9,–200 to 1970,0,–
Eirenis,mcmahoni,150–300,15,S,204–238,D,91–96,2,30.6–32.0,455–905,0,–
Eirenis,medus,180–430,15,S,144–175,D,42–63,2,15.0–33.3,20–2440,0,2–3
Eirenis,modestus,80–669,17–19,S,140–192,D,51–86,2,18.8–33.3,0–2440,0,3–8
Eirenis,nigrofasciatus,270–360,15,S,193–219,D,67–96,2,19.0–28.5,0–2500,0,–
Eirenis,occidentalis,300–380,15,S,186–224,D,42–65,2,13.1–19.5,500–2200,0,–
Eirenis,persicus,152–526,15,S,182–238,D,35–110,2,13.1–31.3,20–2600,0,1–8
Eirenis,punctatolineatus,100–600,17,S,149–185,D,55–93,2,21.0–35.7,50–2700,0,3–8
Eirenis,rafsanjanicus,373–380,17,S,173–184,D,78–84,2,24.7–25.0,2265–2280,0,–
Eirenis,rechingeri,270–344,15,S,157–167,D,51–59,2,20.0–23.5,2100–2400,0,–
Eirenis,rothii,100–381,15,S,133–200,D,35–72,2,12.9–21.3,320–2000,0,2–5
Eirenis,thospitis,360–540,15,S,169–190,D,48–58,2,15.0–19.0,1500–2110,0,–
Eirenis,walteri,300–466,15,S,211–235,D,73–104,2,13.0–28.2,280–1800,0,–
Eirenis,yassujicus,505,17,S,160,D,60,2,22.8,> 2000,0,–
Elaphe,anomala,289–2300,17–23,S/k,203–255,D,45–81,2,12.2–15.2,100–1800,0,5–30
Elaphe,bimaculata,200–992,21–27,S/k,170–209,D,61–81,2,13.8–23.4,50–2240,0,2–12
Elaphe,carinata,300–3000,21–25,K/k,173–230,D,61–120,2,15.6–26.7,100–3200,0,2–58
Elaphe,climacophora,265–2500,21–25,K,219–244,D,80–119,2,16.7–29.5,0–2000,0,2–24
Elaphe,davidi,271–1410,21–23,K,155–184,D,53–72,2,13.3–24.6,100–1680,0,5–8
Elaphe,dione,120–1700,21–27,S/k,168–214,D,45–84,2,12.1–29.4,–30 to 3580,0,2–24
Elaphe,druzei,377–1835,21–25,S/k,202–222,D,57–78,2,13.0–17.8,670–2200,0,6–16
Elaphe,quadrivirgata,220–2400,19,S/K,192–217,D(E),70–99,2,18.6–31.3,350–2000,0,1–44
Elaphe,quatuorlineata,190–2600,23–27,k,185–234,D,49–94,2,13.9–29.7,0–2500,0,2–18
Elaphe,sauromates,330–2550,23–27,SKt,172–234,D,56–90,2,15.2–28.6,–30 to 2500,0,4–16
Elaphe,schrenckii,210–2200,21–25,S/K,200–238,D,57–78,2,12.9–21.3,0–2000,0,6–30
Elaphe,urartica,310–1205,23–25,S,154–211,D,60–74,2,16.1–20.5,–25 to 2580,0,–
Elaphe,xiphodonta,370–968,21,S/k,202–204,D,67–68,2,18.8–20.1,1730–1900,0,–
Elaphe,zoigeensis,815–880,19,S/k,202–212,D,68–79,2,16.5–21.6,2580–3200,0,4–12
Elapognathus,coronatus,140–690,15,S,130–160,E,35–55,1,11.3–19.0,20–1015,1,3–9
Elapognathus,minor,100–500,15,S,116–129,E,40–65,1,21.5–24.9,10–150,1,8–12
Elapoidis,fusca,217–506,15,K,140–160,E,69–91,2,19.3–30.2,400–1800,0,1–7
Elapoidis,sumatrana,264–587,15,K,138–143,E,75–84,2,26.8–30.9,920,0,–
Elapomorphus,quinquelineatus,215–1000,15,S,167–191,D,27–46,2,6.5–18.2,0–350,0,13
Elapomorphus,wuchereri,264–1327,15,S,164–206,D,30–46,2,9.3–16.7,5–235,0,–
Elapops,lineatus,289–600,15,S,151–170,E,35–58,1,12.9–21.1,10–1650,0,4
Elapops,modestus,189–643,15,S,126–172,E,32–53,1,12.1–22.4,10–1325,0,1–15
Elapops,niger,190–690,15,S/ka,146–175,E,33–64,1,15.4–23.9,500–750,0,–
Elapotinus,picteti,231–416,17,S,163–196,D,30–37,2,10.7–14.3,160–900,0,5–14
Elapsoidea,boulengeri,120–766,13,S,138–163,E,14–27,2,5.5–9.0,0–1500,0,4–12
Elapsoidea,broadleyi,460–770,13,S,165–180,E,22–23,2,5.9–6.5,10–25,0,–
Elapsoidea,chelazziorum,180–415,13,S,136–141,E,17–21,2,7.5–8.1,0–100,0,–
Elapsoidea,guentherii,132–630,13,S,131–166,E,15–30,2,5.7–16.7,0–1700,0,10
Elapsoidea,laticincta,120–560,13,S,139–151,E,13–26,2,6.1–11.1,270–1000,0,–
Elapsoidea,loveridgei,120–680,13,S,143–172,E,17–30,2,6.0–9.0,300–2400,0,2–6
Elapsoidea,nigra,200–587,13,S,151–169,E,13–24,2,5.6–8.1,20–1900,0,2–5
Elapsoidea,semiannulata,160–710,13,S,136–167,E,13–28,2,5.2–12.2,30–2000,0,2–10
Elapsoidea,sundevallii,110–1000,13,S,138–184,E,13–33,2,5.2–11.1,5–1800,0,3–14
Elapsoidea,trapei,200–681,13,S,155–170,E,18–27,2,6.2–7.8,0–500,0,–
Emmochliophis,fugleri,345–392,19,Ks,134–140,E,88–97,2,33.6–33.8,450–1220,0,–
Emmochliophis,miops,210–390,19,Ks,137–141,E,90–94,2,32.4–34.8,775–1190,0,–
Emydocephalus,annulatus,200–1050,15–17,kt,125–146,E,20–40,1,13.9–19.1,–40 to 0,1,1–8
Emydocephalus,ijimae,260–1070,16–19,kt,136–148,E,19–34,1,11.5–16.0,–30 to 0,1,2–4
Emydocephalus,orarius,585–1160,17,kt,144–146,E,31–36,1,9.2–21.0,–60 to 0,1,2–8
Enhydrina,schistosa,150–1580,37–66,K,226–361,D,37–66,1,7.9–15.8,–100 to 20,1,1–34
Enhydris,chanardi,166–561,21,S,110–125,D,38–60,2,16.6–21.1,5–10,1,13–14
Enhydris,enhydris,76–972,19–23,S,136–177,D,45–83,2,8.0–25.6,10–300,1,1–39
Enhydris,innominata,215–655,21–23,S,105–127,D,40–56,2,7.6–23.0,15–855,1,13–32
Enhydris,jagorii,238–750,21–25,S,117–149,D,48–68,2,15.6–25.1,25–855,1,1–28
Enhydris,longicauda,194–803,21–23,S,124–137,D,53–74,2,18.5–29.9,5–40,1,18
Enhydris,subtaeniata,149–870,21,S,132–154,D,46–69,2,14.6–30.2,40–855,1,7–20
Enuliophis,sclateri,245–550,15,S,129–155,D,88–109,2,36.0–42.0,5–1400,0,2–5
Enulius,bifoveatus,321–433,17,S,153–181,D,107–120,2,34.4–37.4,0–50,0,–
Enulius,flavitorques,136–495,15–17,S,165–216,D,85–121,2,26.7–41.0,20–1800,0,2–3
Enulius,oligostichus,265–342,15,S,150–166,D,82–88,2,31.5–34.2,0–1550,0,–
Enulius,roatanensis,243–346,17,S,165–176,D,103–121,2,31.8–35.0,0–50,0,–
Epacrophis,boulengeri,103–203,14,S,179–192,E,18–22,U,7.2–9.7,0–110,0,–
Epacrophis,drewesi,143,14,S,248,E,26,U,8.4,1250–1400,0,–
Epacrophis,reticulatus,190–201,14,S,227–238,E,28–32,U,7.9–10.9,900–1315,0,–
Ephalophis,greyae,517–661,19–21,Sk,151–184,D,24–38,1,11.3–11.5,–50 to 20,1,3–6
Epicrates,alvarezi,300–1613,50–59,S,241–260,E,44–56,1,10.5–21.2,15–1670,1,8–25
Epicrates,assisi,417–1610,42–56,S,240–260,E,35–62,1,11.8–13.5,10–2190,1,7–14
Epicrates,cenchria,310–1920,39–61,S,231–279,E,43–68,1,7.9–13.9,0–2750,1,4–28
Epicrates,crassus,390–1463,32–54,S,214–247,E,33–52,1,9.8–10.5,10–2190,1,8–22
Epicrates,maurus,280–1790,42–53,S,225–250,E,47–61,1,8.9–14.7,0–2630,1,6–33
Epictia,albifrons,63–164,14,S,205–242,E,11–20,U,4.3–6.4,40–2000,0,–
Epictia,albipuncta,80–355,14,S,213–274,E,20–24,U,6.4–11.5,30–1250,0,–
Epictia,alfredschmidti,181–255,14,S,267–279,E,14–16,U,4.2–4.7,2940–3090,0,–
Epictia,amazonica,62–123,14,S,208–245,E,15–17,U,4.8–7.5,115,0,–
Epictia,antoniogarciai,106–180,14,S,195–208,E,14–18,U,5.9–7.8,935–1270,0,–
Epictia,ater,72–270,14,S,212–266,E,14–22,U,4.2–8.7,40–1350,0,8–12
Epictia,australis,85–230,14,S,233–282,E,9–17,U,3.3–4.7,75–1000,0,5
Epictia,bakewelli,117–181,14,S,245–269,E,16–22,U,5.8–9.5,30–1950,0,–
Epictia,borapeliotes,70–186,14,S,256–282,E,9–18,U,4.9–5.1,0–845,0,~ 10–15
Epictia,clinorostris,128–206,14,S,240–256,E,10–16,U,5.3–5.8,500,0,–
Epictia,columbi,86–183,14,S,242–265,E,13–25,U,4.5–8.7,0,0,–
Epictia,diaplocia,76–211,14,S,205–233,E,14–20,U,5.9–7.3,45–1500,0,2
Epictia,fallax,153–160,14,S,226–242,E,13–16,U,4.8–6.1,10–1000,0,–
Epictia,goudotii,73–185,14,S,213–260,E,11–16,U,3.5–6.6,40–1600,0,8–12
